Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_3M,Mom_12M,Rev_Change,Rec_BuyRatio,Streak_Days,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Streak_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
CBRE,Real Estate,Real Estate Services,165.46,40.0975,1.2521,-3.52,14.61,14.67,4.38,0.9114308553157475,,27.4927,0.06315789473684219,0.8,2,33.33333333333335,75.0,100.0,60.0,100.0,73.66666666666667,100.0,2.666666666666667,61.06666666666667,69.88666666666667,33.33333333333335
AX,Financials,Regional Banks,92.35,12.0832,2.35138,20.58,78.88815,16.34,49.6028,0.9582701062215476,,34.0348,0.0,0.8571428571428571,2,66.31910502878245,89.7271960400452,89.25073731525345,75.1491156453388,39.31803133966012,71.952837073816,91.21863799283155,2.666666666666667,55.7978494623656,67.10634079038087,39.31803133966012
NEM,Materials,Gold,108.99,16.5489,5.5312,-5.19,26.59,22.720000000000002,45.37,0.9956454558224469,,178.5331,0.12108262108262113,0.8518518518518519,2,42.53731343283583,58.83428706271016,92.29986431478969,76.74355495251018,88.98071625344353,71.87914720325787,90.50203527815468,2.666666666666667,55.36788783355948,66.92576939234834,42.53731343283583
MLI,Industrials,Industrial Machinery & Supplies & Components,123.6,18.3163,3.3146,42.72,15.71,26.229999999999997,23.03,0.9938714760987566,,54.9066,0.0,0.8333333333333334,2,69.81292517006801,92.49009554103645,89.03061224489795,75.94684763857695,39.49829931972789,73.35575598286145,79.0391156462585,2.666666666666667,48.49013605442177,65.89607000432954,39.49829931972789
IDCC,Information Technology,Communications Equipment,309.09,16.0179,8.5693,78.98,28.75,49.919999999999995,61.99,0.574067977944202,,62.0138,0.08333333333333337,0.8333333333333334,2,56.971153846153854,94.25770308123249,93.97581585081585,51.119281045751634,82.61088709677419,75.7869681841456,69.15064102564102,2.666666666666667,42.55705128205128,65.8179931135173,51.119281045751634
CLSK,Information Technology,Internet Services & Infrastructure,11.61,8.1416,3.8722,,102.21,17.71,41.62,0.3006177876209348,,15.0644,0.052631578947368474,0.8947368421052632,2,74.35897435897436,75.0,74.42621481083019,43.846540588622034,79.77667493796525,69.48168093927836,93.34319526627218,2.666666666666667,57.07258382642998,65.75895180542383,43.846540588622034
FANG,Energy,Oil & Gas Exploration & Production,147.41,10.066,2.7496,60.55,60.29,10.89,35.69,0.499339395352452,,-13.7903,0.02631578947368418,0.9473684210526315,2,50.22172949002217,90.78713968957872,72.9490022172949,49.80044345898004,74.50110864745012,67.65188470066519,100.0,2.666666666666667,61.06666666666667,65.67631929046564,49.80044345898004
CCK,Materials,Paper & Plastic Packaging Products & Materials,104.53,12.7456,0.9931,-1.24,3.27,33.32,12.59,0.8522388059701491,,30.6298,0.06052631578947365,0.85,2,73.96351575456052,50.97339390006489,81.73023770038694,62.59812050856827,78.00224466891133,69.45350250649838,91.15533443891653,2.666666666666667,55.75986733001658,65.34541195355385,50.97339390006489
MATX,Industrials,Marine Transportation,132.0,9.5782,1.2166,48.79,1.88,16.23,14.89,0.6694915254237289,,-5.1792,0.2222222222222222,0.8888888888888888,2,82.03463203463204,68.35398436531793,61.688311688311686,41.01596967625676,98.7012987012987,70.35883929316341,87.44588744588744,2.666666666666667,53.53419913419913,65.31144724547413,41.01596967625676
APPF,Information Technology,Application Software,226.58,39.9475,8.9806,40.32,18.88,42.1,14.6,0.26759941089837996,,-10.6511,0.15934065934065933,0.9285714285714286,2,44.68186134852802,82.62782045891781,63.68569701903035,40.95171591903618,99.5221027479092,66.29383949868432,99.40645773979107,2.666666666666667,60.71054131054131,64.6188500422414,40.95171591903618
META,Communication Services,Interactive Media & Services,653.06,28.1242,8.6883,29.99,21.27,30.930000000000003,43.23,0.5475114552061935,,6.9328,0.021408450704225368,0.9014084507042254,2,30.036133694670287,91.32764601807753,86.31436314363143,55.28455284552845,67.29900632339655,66.05234040506085,100.0,2.666666666666667,61.06666666666667,64.55663828354258,30.036133694670287
NJR,Utilities,Gas Utilities,46.47,13.949,3.5971,14.21,27.79,13.98,39.1,0.412046543463381,,0.1077,0.09090909090909094,0.8181818181818182,2,52.82131661442006,88.807657859382,87.93103448275863,28.714733542319753,90.28213166144201,69.7113748320645,85.26645768025078,2.666666666666667,52.22654127481714,64.46592476489027,28.714733542319753
