Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_3M,Mom_12M,Rev_Change,Rec_BuyRatio,Analyst_Count,Streak_Days,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Shrunk_Ratio,Consensus_Score,Streak_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
MU,Information Technology,Semiconductors,345.09,32.6142,9.1795,26.15,45.43,22.43,32.45,0.9957508076977102,,247.1381,0.09252539912917268,0.9038461538461539,52.0,90.0,53.57286230429547,80.89101954807153,82.19292212048299,79.72928182482579,92.53311922922522,78.42403287560018,0.8728070175438597,97.06945002007225,100.0,98.24167001204336,84.36932401653313,53.57286230429547
CBRE,Real Estate,Real Estate Services,165.46,40.0975,1.2521,-3.52,14.61,14.67,4.38,0.9114308553157475,,27.4927,0.06315789473684219,0.8,20.0,90.0,33.33333333333335,75.0,100.0,60.0,100.0,75.66666666666667,0.7500000000000001,100.0,100.0,100.0,82.96666666666667,33.33333333333335
NEM,Materials,Gold,108.99,16.5489,5.5312,-5.19,26.59,22.720000000000002,45.37,0.9956454558224469,,178.5331,0.12108262108262113,0.8518518518518519,27.0,90.0,41.978609625668454,59.3013994766185,93.04812834224599,77.05882352941177,89.3048128342246,72.7506542268745,0.8046875,97.32620320855615,100.0,98.39572192513369,80.44417453635225,41.978609625668454
NJR,Utilities,Gas Utilities,46.47,13.949,3.5971,14.21,27.79,13.98,39.1,0.412046543463381,,0.1077,0.09090909090909094,0.8181818181818182,11.0,90.0,52.82131661442006,88.807657859382,87.93103448275863,28.714733542319753,90.28213166144201,72.7897447380206,0.734375,91.22257053291536,100.0,94.7335423197492,79.37288401253917,28.714733542319753
CLSK,Information Technology,Internet Services & Infrastructure,11.61,8.1416,3.8722,,102.21,17.71,41.62,0.3006177876209348,,15.0644,0.052631578947368474,0.8947368421052632,19.0,90.0,74.6613449443638,75.0,74.48570037501656,43.63700643816754,79.22109337203676,71.1802333726104,0.8229166666666666,94.92017416545717,100.0,96.9521044992743,78.91179471060957,43.63700643816754
CCK,Materials,Paper & Plastic Packaging Products & Materials,104.53,12.7456,0.9931,-1.24,3.27,33.32,12.59,0.8522388059701491,,30.6298,0.06052631578947365,0.85,20.0,90.0,73.63834422657952,51.41380429240253,82.46187363834423,62.832244008714596,78.4313725490196,70.53548417002735,0.79,95.64270152505445,100.0,97.38562091503266,78.59052519352893,51.41380429240253
FANG,Energy,Oil & Gas Exploration & Production,147.41,10.066,2.7496,60.55,60.29,10.89,35.69,0.499339395352452,,-13.7903,0.02631578947368418,0.9473684210526315,38.0,90.0,50.22172949002217,90.78713968957872,72.9490022172949,49.80044345898004,74.50110864745012,68.8869179600887,0.9011627906976744,100.0,100.0,100.0,78.22084257206208,49.80044345898004
MATX,Industrials,Marine Transportation,132.0,9.5782,1.2166,48.79,1.88,16.23,14.89,0.6694915254237289,,-5.1792,0.2222222222222222,0.8888888888888888,9.0,90.0,81.94682675814752,68.44211273003397,61.192109777015446,41.01477079658248,98.71355060034304,73.14681312261251,0.7678571428571428,81.51801029159519,100.0,88.91080617495712,77.8760110383159,41.01477079658248
APPF,Information Technology,Application Software,226.58,39.9475,8.9806,40.32,18.88,42.1,14.6,0.26759941089837996,,-10.6511,0.15934065934065933,0.9285714285714286,14.0,90.0,44.88120195667365,82.510103422565,63.78339943115812,40.85613431525381,99.53412532028885,69.24689243943963,0.8289473684210527,96.16818075937573,100.0,97.70090845562544,77.78309724429538,40.85613431525381
AX,Financials,Regional Banks,92.35,12.0832,2.35138,20.58,78.88815,16.34,49.6028,0.9582701062215476,,34.0348,0.0,0.8571428571428571,14.0,90.0,66.34847487382049,89.70017791568682,89.31828010049638,75.13478840667781,39.313144612683786,70.17189099217336,0.7763157894736842,89.36800526662277,100.0,93.62080315997366,77.20656464251344,39.313144612683786
BG,Consumer Staples,Agricultural Products & Services,99.99,14.6139,0.3217,,10.29,10.99,2.8,0.9960268948655254,,29.2194,0.15000000000000002,0.85,20.0,90.0,80.98118279569891,66.86827956989248,27.75537634408602,77.00334919795523,100.0,71.67147012162877,0.79,82.25806451612904,100.0,89.35483870967742,76.97648069804336,27.75537634408602
THC,Health Care,Health Care Facilities,201.2,13.0594,0.8479,,-0.56,33.61,16.67,0.8087017473057612,,54.5196,0.0714285714285714,0.8571428571428571,28.0,90.0,78.88077858880779,33.19951338199513,79.1484184914842,70.85158150851582,88.15085158150853,70.91119221411194,0.8106060606060607,84.08759124087592,100.0,90.45255474452554,76.77360097323601,33.19951338199513
IDCC,Information Technology,Communications Equipment,309.09,16.0179,8.5693,78.98,28.75,49.919999999999995,61.99,0.574067977944202,,62.0138,0.08333333333333337,0.8333333333333334,12.0,90.0,57.2621855345912,93.92748574449605,94.06102281376437,50.877177068214806,82.38011006289308,77.27674289452581,0.75,59.24724842767295,100.0,75.54834905660377,76.7582247431492,50.877177068214806
META,Communication Services,Interactive Media & Services,653.06,28.1242,8.6883,29.99,21.27,30.930000000000003,43.23,0.5475114552061935,,6.9328,0.021408450704225368,0.9014084507042254,71.0,90.0,30.036133694670287,91.32764601807753,86.31436314363143,55.28455284552845,67.29900632339655,66.65306307895426,0.8782894736842106,100.0,100.0,100.0,76.65714415526799,30.036133694670287
NVDA,Information Technology,Semiconductors,184.86,45.2842,24.0037,91.83,65.22,103.82000000000001,58.84,0.7823530957657848,,31.9392,0.0015649452269169695,0.8888888888888888,72.0,90.0,27.057406663990363,99.29087387959947,98.10783789796133,58.097355608395354,57.594005084972565,68.00432830081269,0.8668831168831168,94.40653017529775,100.0,96.64391810517864,76.59620524212247,27.057406663990363
MCK,Health Care,Health Care Distributors,816.06,24.9748,0.2602,39.07,17.23,39.43,1.36,0.7553757652197985,,38.2543,0.045454545454545414,0.8636363636363636,22.0,90.0,73.15997566909975,85.53002654280027,57.2080291970803,59.3065693430657,69.5103406326034,69.45317684140677,0.8055555555555556,86.00973236009733,100.0,91.60583941605839,76.09897561380225,57.2080291970803
STRL,Industrials,Construction & Engineering,308.13,29.9762,4.2384,41.21,6.2,35.620000000000005,19.68,0.6561028500619579,,84.4538,0.09999999999999998,0.9,10.0,90.0,32.88784067085953,71.6167717271676,86.0587002096436,51.93647103242024,95.54507337526206,69.78940152021269,0.7833333333333333,84.25052410901468,100.0,90.5503144654088,76.01767540377152,32.88784067085953
PEGA,Information Technology,Application Software,57.94,35.3791,5.6766,,17.0,45.98,17.4,0.7344485101934136,,20.5827,0.044736842105263186,0.8947368421052632,19.0,90.0,61.227579781038905,58.66571699905033,69.58650654820985,68.1393682022613,75.40181691125088,66.96732012381173,0.8229166666666666,93.8504542278127,100.0,96.31027253668762,75.7702058476745,58.66571699905033
NI,Utilities,Multi-Utilities,42.03,22.3945,3.2475,10.35,20.5,10.07,28.12,0.6932185145317544,,15.3086,0.05138339920948609,0.8695652173913043,23.0,90.0,34.155844155844164,86.60427807486631,72.2077922077922,58.54545454545454,71.16883116883118,65.16760886172652,0.8124999999999999,97.92207792207792,100.0,98.75324675324674,75.24330022918258,34.155844155844164
BTSG,Health Care,Health Care Services,37.53,52.2331,0.5453,,17.23,7.5200000000000005,2.14,0.8641831587116803,,116.6859,0.05980861244019142,0.9545454545454546,22.0,90.0,62.112842769777075,64.1398697968041,35.6875123298481,73.0479384493983,84.73071611757743,64.52791477608997,0.8796296296296297,100.0,100.0,100.0,75.16954034326298,35.6875123298481
WAL,Financials,Regional Banks,90.11,11.0213,2.03505,8.28,69.87056,12.790000000000001,41.20746,0.8851405622489958,,11.5637,0.0,0.9,20.0,90.0,81.77529076146587,75.67607960995157,74.4052574509106,54.928292171329645,39.313144612683786,64.438855543336,0.8300000000000001,99.67083607636603,100.0,99.80250164581962,75.04794937408109,39.313144612683786
EWBC,Financials,Regional Banks,117.45,12.8043,3.27879,12.56,74.7411,15.559999999999999,57.97676,0.9556937427127866,,23.1778,0.024844720496894346,0.7391304347826086,23.0,90.0,47.58613122668423,81.1083138992158,91.65288423018657,71.97476336526627,65.54750932631117,71.25255770758505,0.7053571428571428,72.87689269256089,100.0,83.72613561553652,74.99463107997049,47.58613122668423
IQV,Health Care,Life Sciences Tools & Services,242.41,32.1765,2.5957,50.96,3.85,21.4,13.69,0.9587633451957296,,18.6423,0.06896551724137934,0.8275862068965517,29.0,90.0,66.37773722627738,69.52731720362446,62.89917883211679,71.30930656934306,74.79470802919708,69.15591964510446,0.7867647058823529,80.97627737226277,100.0,88.58576642335765,74.98487367858041,62.89917883211679
