Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,EPS_Growth_Source,EPS_Growth_TTMYoY,EPS_Growth_3Y,EPS_Growth_5Y,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_12M,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Days_Raw,Streak_Score,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
MU,Information Technology,Semiconductors,338.13,31.9715,8.9986,205.92,TTM_YoY,205.92,-0.66,26.15,45.43,22.43,32.45,0.9547792467810418,255.7017,0.09252539912917268,0.9038461538461539,0.8728070175438597,52.0,63.25,63.25,73.50594982757528,57.45489078822413,91.29897109919307,81.70869167753902,94.79868838359403,94.58689458689457,83.95903761725398,96.01139601139602,87.00921753786773,84.56907360137673,57.45489078822413
NEM,Materials,Gold,114.63,17.4052,5.8174,26.06,3Y,,26.06,-5.19,26.59,22.720000000000002,45.37,0.9950313807531379,192.6474,0.12108262108262113,0.8518518518518519,0.8046875,27.0,3.25,3.25,6.597306234797373,43.68686868686869,85.66919191919192,95.2020202020202,98.48484848484848,87.37373737373738,81.52777777777779,94.94949494949495,59.608619463615916,77.14394611494541,43.68686868686869
CBRE,Real Estate,Real Estate Services,164.71,39.9158,1.2464,30.28,TTM_YoY,30.28,-16.53,-3.52,14.61,14.67,4.38,0.8994404476418866,33.3037,0.06315789473684219,0.8,0.7500000000000001,20.0,0.0,0.0,0.0,33.33333333333335,75.0,100.0,66.66666666666666,100.0,76.66666666666667,100.0,60.0,73.33333333333334,33.33333333333335
APPF,Information Technology,Application Software,221.17,38.9302,8.7519,57.57,TTM_YoY,57.57,482.99,40.32,18.88,42.1,14.6,0.2277614138438879,-8.8147,0.15934065934065933,0.9285714285714286,0.8289473684210527,14.0,63.25,63.25,73.50594982757528,49.956933677863915,80.60046330950107,63.148107899248956,36.37625339248858,99.56933677863911,69.08987318085585,94.01378122308356,85.81064866488023,72.43402827766073,36.37625339248858
CCK,Materials,Paper & Plastic Packaging Products & Materials,103.94,12.9114,1.006,894.61,TTM_YoY,894.61,,-1.24,3.27,33.32,12.59,0.8346268656716416,25.6832,0.06052631578947365,0.85,0.79,20.0,0.0,0.0,0.0,80.30303030303031,78.78787878787878,88.63636363636363,60.101010101010104,72.72727272727272,76.74242424242425,89.8989898989899,53.93939393939394,72.18181818181819,60.101010101010104
NVDA,Information Technology,Semiconductors,185.81,45.3038,24.0141,59.09,TTM_YoY,59.09,96.93,91.83,65.22,103.82000000000001,58.84,0.789918603104725,39.4656,0.0015649452269169695,0.8888888888888888,0.8668831168831168,72.0,90.0,93.25,84.89281911636292,34.42545109211777,87.99339764933549,98.32698742356064,60.71529681592574,53.65622032288698,66.67051683611339,92.49762583095917,89.45570314512067,71.22755409791485,34.42545109211777
PEGA,Information Technology,Application Software,57.54,35.3791,5.6766,0.58,TTM_YoY,0.58,,,17.0,45.98,17.4,0.7239937271301622,24.0621,0.044736842105263186,0.8947368421052632,0.8229166666666666,19.0,63.25,63.25,73.50594982757528,67.61412575366063,50.29827968923418,69.22448421035685,74.78718736287846,71.66236003445306,66.56104604369537,90.82687338501292,83.89850396203786,70.02853762736387,50.29827968923418
IDCC,Information Technology,Communications Equipment,314.06,16.1692,8.6503,58.32,TTM_YoY,58.32,89.75,78.98,28.75,49.919999999999995,61.99,0.594518969632129,74.6427,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,0.0,60.30864197530864,85.3167115902965,94.59501557632399,64.86885627766132,86.11111111111111,79.30218004781281,46.23456790123457,27.74074074074074,68.9898921863984,60.30864197530864
DY,Industrials,Construction & Engineering,356.9,33.6993,1.9385,33.67,TTM_YoY,33.67,71.2,34.5,13.19,22.21,8.31,0.958560013600816,102.9802,0.0032679738562091387,0.9444444444444444,0.8586956521739131,18.0,90.0,93.25,84.89281911636292,48.01136363636364,66.66445412064571,56.96022727272727,85.85227272727272,59.09090909090908,61.9777771877655,99.43181818181819,93.61621855563607,68.30546546133961,48.01136363636364
META,Communication Services,Interactive Media & Services,631.09,27.6466,8.5407,6.58,TTM_YoY,6.58,20.1,29.99,21.27,30.930000000000003,43.23,0.47808500553009964,3.7414,0.021408450704225368,0.9014084507042254,0.8782894736842106,71.0,90.0,93.25,84.89281911636292,37.272727272727266,71.12918660287082,83.27272727272728,52.0,62.909090909090914,61.8622009569378,100.0,93.95712764654516,68.28118629485928,37.272727272727266
BG,Consumer Staples,Agricultural Products & Services,102.59,14.8974,0.3279,17.66,TTM_YoY,17.66,-16.27,,10.29,10.99,2.8,0.9995739241585002,25.125,0.15000000000000002,0.85,0.79,20.0,0.0,0.0,0.0,79.84189723320159,69.96047430830039,34.1897233201581,88.14229249011856,100.0,75.0197628458498,63.636363636363626,38.18181818181817,67.65217391304348,34.1897233201581
CFG,Financials,Regional Banks,59.78,15.1732,1.48499,36.95,TTM_YoY,36.95,-15.04,-3.47,62.72879,6.800000000000001,31.44855,0.9194857916102843,35.3714,0.038461538461538436,0.8461538461538461,0.7983870967741936,26.0,63.25,63.25,73.50594982757528,64.35450584728274,79.72159001021126,25.11581432879587,86.55283921535928,70.16739279981657,64.363156119516,84.75120385232745,80.25310224242658,67.54114534409813,25.11581432879587
KRYS,Health Care,Biotechnology,291.93,42.5582,22.6851,277.03,TTM_YoY,277.03,,,54.51,19.36,42.4,0.9943266997854142,94.2186,0.0,0.8888888888888888,0.8152173913043478,18.0,90.0,93.25,84.89281911636292,26.190476190476193,89.89695087521174,78.51731601731602,94.13419913419914,43.01948051948052,63.795948616600796,78.62554112554112,81.13245232186983,67.26324935765462,26.190476190476193
C,Financials,Diversified Banks,116.3,14.1646,1.09533,88.9,TTM_YoY,88.9,-15.18,-5.26,99.23775,6.94,23.01502,0.8853772210894262,59.8186,0.06896551724137934,0.8275862068965517,0.7867647058823529,29.0,0.0,0.0,0.0,64.92427943331705,93.31050648037504,29.689789936492424,85.51272371985611,83.39032730825599,71.25940555507933,84.63605276013678,50.78163165608206,67.16385077527988,29.689789936492424
KALU,Materials,Aluminum,126.39,22.3882,0.6376,90.32,TTM_YoY,90.32,,-5.6,7.69,12.16,4.93,0.9847812717704286,76.2516,0.75,0.75,0.6730769230769231,8.0,0.0,0.0,0.0,74.15458937198068,82.06521739130434,55.79710144927536,84.63768115942028,100.0,80.09903381642512,24.396135265700483,14.63768115942029,67.00676328502416,55.79710144927536
NI,Utilities,Multi-Utilities,42.45,22.5011,3.263,10.36,TTM_YoY,10.36,5.96,10.35,20.5,10.07,28.12,0.7370129870129871,16.8134,0.05138339920948609,0.8695652173913043,0.8124999999999999,23.0,63.25,63.25,73.50594982757528,44.58041958041959,82.51748251748252,73.42657342657341,42.09790209790209,63.636363636363626,62.32867132867133,93.006993006993,85.20657573522591,66.90425220998225,42.09790209790209
CPRX,Health Care,Biotechnology,22.35,12.6398,4.7575,45.99,TTM_YoY,45.99,52.98,34.24,25.56,26.39,44.78,0.43824701195219146,0.6303,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,93.25,84.89281911636292,79.32900432900433,66.13401091661962,86.25541125541125,31.190476190476186,43.01948051948052,61.7771268586486,87.82467532467533,86.65193284135036,66.75208805518895,31.190476190476186
TMDX,Health Care,Health Care Equipment,142.71,53.1451,8.6113,144.86,TTM_YoY,144.86,,,41.2,31.41,16.94,0.8684158415841585,122.8103,0.07777777777777783,0.8,0.7500000000000001,20.0,0.0,0.0,0.0,31.26535626535626,92.77854930028843,77.45700245700246,95.82309582309583,82.43243243243244,75.28175408610191,53.13267813267814,31.879606879606882,66.60132464480292,31.26535626535626
WAL,Financials,Regional Banks,87.5,10.6971,2.03505,24.59,TTM_YoY,24.59,-6.1,8.28,69.87056,12.790000000000001,41.20746,0.8152610441767068,9.5256,0.0,0.9,0.8300000000000001,20.0,90.0,93.25,84.89281911636292,83.91423985324467,73.63750071910371,68.48346527068438,46.013581121927835,28.47970648933731,59.22900495923005,98.62416876863105,93.1316289077238,66.00952974892881,28.47970648933731
MCK,Health Care,Health Care Distributors,823.98,25.3328,0.2639,66.52,TTM_YoY,66.52,52.67,39.07,17.23,39.43,1.36,0.7797397483618912,40.832,0.045454545454545414,0.8636363636363636,0.8055555555555556,22.0,3.25,3.25,6.597306234797373,75.98814229249012,76.96124763705104,57.312252964426875,67.78656126482213,71.73913043478261,70.15509537721258,77.27272727272727,49.00255885755531,65.92458807328111,57.312252964426875
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,71.24,23.2725,6.3627,25.45,TTM_YoY,25.45,3.01,3.54,2.8,47.010000000000005,31.42,0.7702999268471104,15.5556,0.0,0.8857142857142857,0.8437499999999999,35.0,90.0,93.25,84.89281911636292,33.4710743801653,58.4710743801653,95.86776859504133,67.52066115702479,48.34710743801652,59.77685950413223,91.73553719008264,88.99844996059474,65.62117759542474,33.4710743801653
MPWR,Information Technology,Semiconductors,983.28,24.4485,17.4124,341.32,TTM_YoY,341.32,93.47,72.79,30.48,56.64,26.01,0.7953310348857592,67.4096,0.040000000000000036,0.8,0.7583333333333334,25.0,0.0,0.0,0.0,48.19563152896486,87.40987092818392,82.3614772212903,73.48635524736153,75.97340930674264,73.6097015494777,55.55555555555556,33.333333333333336,65.55442790624883,48.19563152896486
OPCH,Health Care,Health Care Facilities,34.75,26.3819,0.9974,5.27,TTM_YoY,5.27,16.65,,15.79,15.28,6.03,0.9309428950863213,25.3608,0.01388888888888884,0.8888888888888888,0.8152173913043478,18.0,63.25,63.25,73.50594982757528,67.08754208754209,55.444542038744935,45.833333333333336,79.56228956228955,65.993265993266,62.105743424584006,81.56565656565657,78.34177387042405,65.35294951375201,45.833333333333336
NBIX,Health Care,Biotechnology,132.26,30.882,4.9269,12.16,TTM_YoY,12.16,53.21,53.47,19.61,15.82,20.51,0.6323897300855824,-7.5299,0.032773109243697474,0.8857142857142857,0.8437499999999999,35.0,90.0,93.25,84.89281911636292,61.95887445887446,55.94344061735365,61.95887445887446,30.757575757575758,72.40259740259741,58.686523621306236,96.21212121212122,91.6844003738179,65.28609897180857,30.757575757575758
STRL,Industrials,Construction & Engineering,321.6,31.0454,4.3896,72.95,TTM_YoY,72.95,56.63,41.21,6.2,35.620000000000005,19.68,0.697831474597274,98.2493,0.09999999999999998,0.9,0.7833333333333333,10.0,0.0,0.0,0.0,35.79545454545455,57.96118309260832,89.77272727272728,66.5909090909091,93.4659090909091,70.06098661852167,75.99431818181819,45.596590909090914,65.16810747663553,35.79545454545455
HALO,Health Care,Biotechnology,71.67,14.3014,6.8523,57.4,TTM_YoY,57.4,7.75,,31.19,141.55,59.33,0.7553125,32.379,0.04583333333333328,0.7333333333333333,0.6875,15.0,0.0,0.0,0.0,62.121212121212125,75.42819499341238,100.0,63.2900432900433,84.95670995670996,78.24256540560889,18.181818181818183,10.90909090909091,64.7758705063053,62.121212121212125
UBER,Industrials,Passenger Ground Transportation,85.41,10.6651,3.5773,282.23,TTM_YoY,282.23,,,18.25,70.61,8.72,0.5991295938104448,30.0,0.013387978142076484,0.8166666666666667,0.7961538461538461,60.0,0.0,0.0,0.0,61.038961038961034,93.4700813205486,69.26406926406926,48.05194805194805,63.636363636363626,67.8715054415989,86.14718614718613,51.68831168831168,64.63486669094146,48.05194805194805
TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",74.86,11.7163,1.2139,3.29,TTM_YoY,3.29,18.11,1.16,3.6,121.75,19.71,0.9648803329864726,50.1705,0.012499999999999956,0.8125,0.75,16.0,0.0,0.0,0.0,76.72811059907835,37.73041474654378,84.7926267281106,86.74170884641535,69.81566820276497,70.31540379240009,61.05990783410138,36.635944700460826,63.57951197401224,37.73041474654378
ADMA,Health Care,Biotechnology,17.7,20.3741,8.7345,206.77,TTM_YoY,206.77,,,27.62,53.98,33.25,0.3451109285127361,-3.3944,0.0888888888888888,0.8888888888888888,0.7678571428571428,9.0,0.0,0.0,0.0,46.37445887445887,82.95125164690381,84.95670995670994,25.238095238095234,96.75324675324674,70.8305100696405,56.16883116883117,33.7012987012987,63.40466779597214,25.238095238095234
WBS,Financials,Regional Banks,62.85,11.0231,2.72593,21.16,TTM_YoY,21.16,-0.12,1.64,93.49402,9.959999999999999,43.21621,0.8638878642567317,14.6061,0.0,0.8636363636363636,0.8055555555555556,22.0,90.0,93.25,84.89281911636292,63.79270809447375,82.03831744114136,62.56349322159916,57.05117414688041,28.47970648933731,57.35650649580925,87.47993579454254,86.44508912327069,63.17422302130154,28.47970648933731
GE,Industrials,Aerospace & Defense,327.23,42.4137,7.7805,32.21,TTM_YoY,32.21,,,17.68,42.13,17.0,0.9679409560053047,90.7268,0.019893899204244003,0.8275862068965517,0.7867647058823529,29.0,0.0,0.0,0.0,28.074866310160434,78.74289902877038,86.09625668449198,79.35828877005349,68.98395721925135,67.73253702500543,73.93048128342245,44.35828877005347,63.057687374015046,28.074866310160434
CI,Health Care,Health Care Services,271.81,11.9948,0.275,114.21,TTM_YoY,114.21,-8.32,-2.03,15.26,15.06,3.45,0.29233414788668666,-3.767,0.05347593582887711,0.8181818181818182,0.7828947368421053,33.0,0.0,0.0,0.0,92.01101928374655,76.57404080328982,51.5840220385675,28.126721763085392,79.20110192837467,68.05310017167724,67.90633608815426,40.74380165289256,62.59124046792031,28.126721763085392
APH,Information Technology,Electronic Components,148.97,46.4859,8.4689,72.14,TTM_YoY,72.14,14.69,15.39,47.37,34.63,24.31,0.9984890999352469,117.9836,0.024347826086956514,0.72,0.6916666666666667,25.0,0.0,0.0,0.0,40.0997150997151,89.85264236318619,83.91112176158904,96.66720421437401,73.64672364672364,75.68445738873507,16.31054131054131,9.786324786324785,62.50483086825301,40.0997150997151
