Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA,EV_EBITDA_Used,EV_EBITDA_Source,EPS_Growth,EPS_Growth_Source,EPS_Growth_TTMYoY,EPS_Growth_3Y,EPS_Growth_5Y,Rev_Growth,ROE,Op_Margin,ROIC,ROIC_Source,Mom_Range,Mom_12M,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Days_Raw,Streak_Score,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Alpha_Score_PreGates,Min_Fund_Factor,Momentum_Fail,Lopsided_Fail,Neg_EPS_Fail,Missing_EPS_Fail
MU,Information Technology,Semiconductors,362.75,34.2832,9.6492,18.6485,18.6485,TTM,205.92,TTM_YoY,205.92,-0.66,26.15,45.43,22.43,32.45,17.740000000000002,TTM,0.9899431426036086,253.5575,0.09252539912917268,0.9038461538461539,0.8728070175438597,52.0,64.75,64.75,74.3275049830888,59.22928777292649,90.88639675371047,80.9109915470191,99.06201146430433,97.95605518650996,84.7013975490298,96.34644864588657,87.53887118076746,85.26889227537734,85.26889227537734,59.22928777292649,False,False,False,False
NEM,Materials,Gold,114.12,17.3278,5.7915,10.1398,10.1398,TTM,26.06,3Y,,26.06,-5.19,26.59,22.720000000000002,45.37,18.34,TTM,0.9788925255493955,173.9976,0.12108262108262113,0.8518518518518519,0.8046875,27.0,4.75,4.75,9.493634433100562,54.456327985739755,85.02673796791444,96.70231729055259,95.50802139037432,86.63101604278076,83.72459893048129,94.6524064171123,60.588897623507606,79.09745866908655,79.09745866908655,54.456327985739755,False,False,False,False
NVDA,Information Technology,Semiconductors,186.23,45.6198,24.1816,39.4967,39.4967,TTM,59.09,TTM_YoY,59.09,96.93,91.83,65.22,103.82000000000001,58.84,95.37,TTM,0.79326335371773,39.425,0.0015649452269169695,0.8888888888888888,0.8668831168831168,72.0,90.0,94.75,84.89281911636292,40.31352292101974,89.26491059193638,98.79934941102995,56.76950474812428,54.93101686254471,70.1171531400763,92.69289729177312,89.57286602160903,74.00829571638285,74.00829571638285,40.31352292101974,False,False,False,False
CCK,Materials,Paper & Plastic Packaging Products & Materials,104.24,12.7102,0.9904,8.7784,8.7784,TTM,894.61,TTM_YoY,894.61,,-1.24,3.27,33.32,12.59,10.26,TTM,0.8435820895522386,22.3331,0.06052631578947365,0.85,0.79,20.0,0.0,0.0,0.0,83.86809269162211,79.01069518716578,85.7397504456328,60.96256684491979,71.3903743315508,77.43315508021391,91.97860962566845,55.18716577540107,72.98395721925135,72.98395721925135,60.96256684491979,False,False,False,False
GOOG,Communication Services,Interactive Media & Services,330.34,32.0637,10.3351,29.0757,29.0757,TTM,32.61,TTM_YoY,32.61,12.76,26.76,13.42,35.0,32.19,33.26,TTM,0.9492398479695937,71.0642,0.03522504892367906,0.8571428571428571,0.8366666666666666,70.0,90.0,94.75,84.89281911636292,21.746031746031743,67.17460317460318,85.87301587301589,96.13333333333333,77.04761904761905,69.08190476190478,88.28571428571429,86.92855621797375,72.65123505311858,72.65123505311858,21.746031746031743,False,False,False,False
GOOGL,Communication Services,Interactive Media & Services,330.0,32.0637,10.3351,29.0757,29.0757,TTM,32.61,TTM_YoY,32.61,12.76,26.76,13.42,35.0,32.19,33.26,TTM,0.9475395079015803,71.0642,0.03522504892367906,0.8571428571428571,0.8366666666666666,70.0,90.0,94.75,84.89281911636292,21.746031746031743,67.17460317460318,85.87301587301589,93.00952380952381,77.04761904761905,68.61333333333334,88.28571428571429,86.92855621797375,72.27637791026143,72.27637791026143,21.746031746031743,False,False,False,False
DAL,Industrials,Passenger Airlines,70.43,9.1866,0.7258,6.8919,6.8919,TTM,43.65,TTM_YoY,43.65,54.97,,2.79,27.63,9.15,15.129999999999999,TTM,0.9289525048796359,6.4219,0.014336917562724039,0.9032258064516129,0.8541666666666667,31.0,90.0,94.75,84.89281911636292,84.61538461538463,49.660633484162894,71.97802197802197,47.435897435897445,72.8937728937729,66.5438483085542,94.68864468864467,90.77031445973196,71.38914153878976,71.38914153878976,47.435897435897445,False,False,False,False
IDCC,Information Technology,Communications Equipment,308.76,16.0008,8.5602,11.6403,11.6403,TTM,58.32,TTM_YoY,58.32,89.75,78.98,28.75,49.919999999999995,61.99,33.85,TTM,0.5727100650152249,79.8462,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,0.0,69.86018990248539,85.53254928667471,94.31372549019608,66.6508378993239,87.13592233009709,82.08178936129903,45.970873786407765,27.582524271844658,71.18193634340815,71.18193634340815,66.6508378993239,False,False,False,False
AVGO,Information Technology,Semiconductors,351.71,72.1073,26.1016,61.2318,61.2318,TTM,290.4,TTM_YoY,290.4,20.59,46.63,23.87,31.47,39.97,16.6,TTM,0.7725217894470362,53.3107,0.0030323450134770447,0.9464285714285714,0.9139344262295082,56.0,90.0,94.75,84.89281911636292,26.07808813584475,83.9007283403779,85.08053877316554,65.1806918044896,58.07358201328565,64.65771816186648,100.0,93.95712764654516,70.51760005880223,70.51760005880223,26.07808813584475,False,False,False,False
PEGA,Information Technology,Application Software,51.99,31.746,5.0937,28.8483,28.8483,TTM,0.58,TTM_YoY,0.58,,,17.0,45.98,17.4,38.53,TTM,0.5789336121275486,1.4637,0.044736842105263186,0.8947368421052632,0.8229166666666666,19.0,64.75,64.75,74.3275049830888,69.10193615884505,50.799857440524406,75.11012533258958,61.51427696393482,71.98013095506886,66.38105778862528,91.05892978098893,84.36635986182888,69.978118203266,69.978118203266,50.799857440524406,False,False,False,False
