Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
UNIT,Uniti Group Inc (Delaware),Communication Services,Alternative Carriers,11.98,2.1531,1.2572,5.0441,7.371400443022398,807.23,91.48,245.66,0.7885,13.11,0.9716080986734932,50.5025,518.4139999999996,20.614499999999996,50.5025,0.9672741524801948,48.4835,0.41596,13.11,87.1345029239766,98.71769034741001,92.11650922177239,88.70738719708972,50.0,87.2977685453372,0.9487179487179487,1.0,0.9487179487179487,0.8717948717948718,A,A+,A,B+,unitigroupincdelaware
EIX,Edison International,Utilities,Electric Utilities,68.86,5.6782,1.3819,6.3183,1.5072781000328335,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.7417939266280498,18.3162,86.52999999999984,9.78,18.3162,0.7417939266280498,23.759999999999998,0.36719999999999997,8.42,96.49758454106279,75.54502663198315,94.92753623188405,64.50390189520624,50.0,80.86606589867459,1.0,0.8333333333333334,1.0,0.6666666666666666,A+,B+,A+,B-,edisoninternational
MU,Micron Technology Inc,Information Technology,Semiconductors,496.72,23.2432,9.6426,15.2574,10.289298483285483,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9763085653648297,541.5913,234.63549999999998,42.86799999999995,445.73796499999986,0.9763085653648297,40.839999999999996,0.42363499999999993,33.46,58.6202388215811,97.19741706655833,92.12134502923976,93.04605263157893,50.0,80.73408990233267,0.6233766233766234,1.0,0.9545454545454546,0.974025974025974,B-,A+,A,A+,microntechnologyinc
INVA,Innoviva Inc,Health Care,Pharmaceuticals,23.57,6.4386,4.2446,8.1696,1.499926817316932,3397.08,14.67,30.599999999999998,0.3981,21.88,0.8173913043478261,28.2372,428.44,14.67,28.2372,0.8173913043478261,30.599999999999998,0.3981,21.88,78.18409660514924,87.52586912826621,86.96741854636592,75.7218045112782,50.0,78.93741351578767,0.8796992481203008,0.9548872180451128,0.924812030075188,0.7894736842105263,B+,A,A-,B,innovivainc
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,83.88,3.4248,1.5427,2.8741,2.455740747788867,265.66,4.12,91.96,0.1825,38.72,0.7535468179975678,27.0139,240.39000000000001,4.12,27.0139,0.7535468179975678,91.96,0.1825,38.72,79.77628635346757,75.93034706923737,88.59060402684565,68.48322147651007,50.0,75.9744363042278,0.88,0.82,0.9733333333333334,0.6866666666666666,B+,B+,A+,B-,boydgamingcorp
INCY,Incyte Corp,Health Care,Biotechnology,94.65,14.6401,3.6638,10.0753,3.635085778807047,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.6792727272727273,60.5053,428.44,21.22,60.5053,0.6792727272727273,29.15,0.29460000000000003,28.910000000000004,72.64942659679502,86.13642191286797,85.71428571428571,70.19883040935673,50.0,75.85797854221514,0.8270676691729323,0.9473684210526315,0.9172932330827067,0.7293233082706767,B+,A,A-,B,incytecorp
NEM,Newmont Corporation,Materials,Gold,120.7,18.3977,5.7501,9.5518,3.881128775016721,118.49,21.34,21.72,0.47909999999999997,18.02,0.8362775661009123,116.6966,118.49,21.34,116.6966,0.8362775661009123,21.72,0.24933999999999995,14.726499999999989,52.68817204301075,86.83017861903491,93.54838709677419,83.57771260997067,50.0,75.64071803074735,0.5645161290322581,0.9354838709677419,0.9838709677419355,0.8387096774193549,C+,A,A+,B+,newmontcorporation
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,48.45,4.7092,0.6392,6.1834,1.322350590759103,562.04,17.49,29.580000000000002,0.136,12.19,0.49519959575543226,4.4181,562.04,17.49,4.4181,0.49519959575543226,29.54,0.136,12.19,92.4731182795699,93.12683284457478,88.44086021505376,33.387096774193544,50.0,75.53128054740958,0.9838709677419355,0.9838709677419355,0.9516129032258065,0.25806451612903225,A+,A+,A,D+,sonocoproductsco
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,37.73,9.2983,1.4948,3.201,2.185675224765965,77.13,-8.39,24.51,0.3422,13.56,0.7396577139123898,132.0418,77.13,-8.39,132.0418,0.7396577139123898,24.51,0.3422,13.56,87.85591766723842,54.35682778688714,88.67924528301887,77.47169811320754,50.0,75.49949591758326,1.0,0.5454545454545454,0.9818181818181818,0.8181818181818182,A+,C+,A+,B+,apacorpus
ECPG,Encore Capital Group Inc,Financials,Consumer Finance,83.73,7.0133,1.0183,8.5694,1.8591628105265963,13.54,33.12,28.189999999999998,0.35340000000000005,5.3100000000000005,0.9682031984948261,140.5343,13.54,33.12,75.97558,0.9484602619362944,28.189999999999998,0.35340000000000005,5.3100000000000005,70.09577154859844,57.504033142525586,88.3248730964467,95.44733502538071,50.0,75.19543479484254,0.7881773399014779,0.6551724137931034,0.8866995073891626,0.9876847290640394,B,B-,B+,A+,encorecapitalgroupinc
JOE,St Joe Co,Real Estate,Real Estate Development,71.01,35.2688,7.9455,23.2596,5.332762582796378,57.0,27.44,15.45,0.2849,8.62,0.9220098643649814,68.5897,54.666,25.247500000000002,68.5897,0.9220098643649814,14.995,0.239875,8.5125,33.333333333333336,100.0,100.0,84.12698412698413,50.0,75.15873015873017,0.5,1.0,1.0,0.8333333333333334,C,A+,A+,B+,stjoeco
DELL,Dell Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals",216.09,23.773,1.2429,15.116,56.38356164383562,33.09,18.8,130.7,0.0739,13.700000000000001,0.976075471698113,128.9089,33.09,18.8,128.9089,0.976075471698113,109.41899999999984,0.0739,13.700000000000001,79.1902728144339,75.61806497883074,71.03508771929825,80.67669172932331,50.0,73.81529147506384,0.8376623376623377,0.8636363636363636,0.7272727272727273,0.8766233766233766,B+,B+,B,B+,delltechnologiesinc
OII,Oceaneering International Inc,Energy,Oil & Gas Equipment & Services,37.35,10.4588,1.3289,8.5999,3.4663894792527077,143.02,4.62,39.379999999999995,0.1094,25.569999999999997,0.8810648346930015,108.4263,143.02,4.62,108.4263,0.8810648346930015,25.973999999999997,0.1094,15.049999999999997,73.99656946826758,80.09023924613228,80.50314465408805,70.77830188679245,50.0,73.79863675717385,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.7454545454545455,A-,A-,B+,B,oceaneeringinternationalinc
ADEA,Adeia Inc,Information Technology,IT Consulting & Other Services,30.31,30.2087,7.5677,15.5557,6.875042529543856,72.59,17.91,26.340000000000003,0.3947,12.870000000000001,0.9795704557359874,146.8241,72.59,17.91,146.8241,0.9795704557359874,26.340000000000003,0.3947,12.870000000000001,57.314274092797575,81.12762300772818,80.25146198830409,87.90562613430127,50.0,73.1980838486813,0.6168831168831169,0.9090909090909091,0.8311688311688312,0.9545454545454546,B-,A-,B+,A,adeiainc
SEE,Sealed Air Corp,Materials,Paper & Plastic Packaging Products & Materials,42.15,12.2884,1.159,12.7091,5.0155285046228535,88.84,-0.61,48.39,0.134,9.58,0.8862050456253352,74.6065,88.84,-0.61,74.6065,0.8862050456253352,29.54,0.134,9.58,71.50537634408603,59.22531769305963,81.45161290322581,83.06451612903226,50.0,71.69721407624634,0.8225806451612904,0.6451612903225806,0.8548387096774194,0.8225806451612904,B+,B-,B+,B+,sealedaircorp
AL,Air Lease Corp,Industrials,Passenger Airlines,65.0,6.6909,2.4148,7.6199,0.8594961765643162,153.5,10.32,13.23,0.7495,3.85,1.0,54.5779,103.38050000000013,10.32,54.5779,0.977052124491073,13.23,0.30119999999999997,3.85,78.54075793519202,86.99718672656404,54.23011844331641,79.92998424645546,50.0,71.57815328923101,0.8492462311557789,0.9698492462311558,0.5527638190954773,0.8492462311557789,B+,A,C+,B+,airleasecorp
APP,Applovin Corp,Information Technology,Application Software,448.29,45.3538,26.0428,37.6555,71.04662588354623,114.67,45.98,249.2,0.6847,68.05,0.40489581873861613,67.3473,114.67,42.86799999999995,67.3473,0.40489581873861613,109.41899999999984,0.42363499999999993,44.67899999999994,30.709782387634732,93.1178824911722,97.67690058479532,77.2035749751738,50.0,71.16096223637672,0.2857142857142857,0.9805194805194806,0.9967532467532467,0.8246753246753247,D+,A+,A+,B+,applovincorp
KALU,Kaiser Aluminum Corp,Materials,Aluminum,177.86,25.2422,0.8419,12.1601,4.285679863135829,135.58,11.54,14.219999999999999,0.057300000000000004,6.08,0.9718287877014322,184.9407,135.58,11.54,183.17664499999984,0.9718287877014322,14.219999999999999,0.057300000000000004,6.08,66.12903225806451,87.93655025326579,52.68817204301075,93.98826979472139,50.0,71.08926508486626,0.7741935483870968,0.9516129032258065,0.5,1.0,B,A,C,A+,kaiseraluminumcorp
TMP,Tompkins Financial Corp,Financials,Regional Banks,82.33,7.3634,3.46671,5.4961,1.25861254515519,126.16,16.23686,19.939999999999998,0.08044029999999999,17.62,0.8425894378194206,38.0218,92.37250000000003,16.23686,38.0218,0.8425894378194206,19.939999999999998,0.08044029999999999,17.62,78.74771823660323,55.07491800526814,77.15736040609137,80.1953211211653,50.0,71.03031748596034,0.916256157635468,0.5812807881773399,0.7783251231527094,0.8423645320197044,A-,C+,B,B+,tompkinsfinancialcorp
