Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA,EV_EBITDA_Used,EV_EBITDA_Source,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,EPS_Growth_Win,Rev_Growth_Win,Rev_Change_Win,Mom_12M_Win,Mom_Range_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Alpha_Score_PreGates,Value_Pct,Growth_Pct,Prof_Pct,Value_Grade,Growth_Grade,Prof_Grade,Valuation_Fail,Min_Fund_Factor,Name_Key
MU,Micron Technology Inc,Information Technology,Semiconductors,362.75,34.2832,9.6492,18.6485,18.6485,TTM,7.51417906428533,205.92,45.43,22.43,0.3245,17.740000000000002,0.9899431426036086,253.5575,0.09252539912917268,0.9038461538461539,0.8728070175438597,52.0,64.75,74.3275049830888,205.92,41.27199999999998,0.09252539912917268,191.0110699999999,0.9683063213765313,56.28896222955629,94.22874312747732,80.38283828382838,98.01800180018002,95.5,82.16729911387763,96.66006600660066,87.72704159719592,83.2792476105413,83.2792476105413,0.6336633663366337,1.0,0.8118811881188119,B-,A+,B+,False,56.28896222955629,microntechnologyinc
NEM,Newmont Corporation,Materials,Gold,114.12,17.3278,5.7915,10.1398,10.1398,TTM,4.297414848148218,26.06,26.59,22.720000000000002,0.4537,18.34,0.9788925255493955,173.9976,0.12108262108262113,0.8518518518518519,0.8046875,27.0,4.75,9.493634433100562,26.06,26.4775,0.12108262108262113,140.8545,0.9788925255493955,55.555555555555564,87.1875,97.22222222222221,94.25,87.5,83.23194444444445,95.0,60.79745377324022,78.7450463102036,78.7450463102036,0.6666666666666666,0.9722222222222222,1.0,B-,A+,A+,False,55.555555555555564,newmontcorporation
NVDA,NVIDIA Corp,Information Technology,Semiconductors,186.23,45.6198,24.1816,39.4967,39.4967,TTM,57.46243327470764,59.09,65.22,103.82000000000001,0.5884,95.37,0.79326335371773,39.425,0.0015649452269169695,0.8888888888888888,0.8668831168831168,72.0,90.0,84.89281911636292,59.09,41.27199999999998,0.0015649452269169695,39.425,0.79326335371773,36.293629362936294,89.11622554660529,97.34323432343234,62.02136213621363,53.26666666666667,68.96340012482261,94.2112211221122,90.48386031981249,73.26749216382059,73.26749216382059,0.36633663366336633,0.9504950495049505,0.9900990099009901,C-,A,A+,False,36.293629362936294,nvidiacorp
CCK,Crown Holdings Inc,Materials,Paper & Plastic Packaging Products & Materials,104.24,12.7102,0.9904,8.7784,8.7784,TTM,4.482149230114333,894.61,3.27,33.32,0.1259,10.26,0.8435820895522386,22.3331,0.06052631578947365,0.85,0.79,20.0,0.0,0.0,111.46999999999996,3.27,0.06052631578947365,22.3331,0.8435820895522386,87.96296296296298,78.046875,83.33333333333333,60.0,72.50000000000001,77.68344907407408,89.99999999999999,53.99999999999999,72.94675925925927,72.94675925925927,0.9444444444444444,0.8888888888888888,0.9166666666666666,A,B+,A-,False,60.0,crownholdingsinc
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,22.7,12.8206,4.8255,6.5025,6.5025,TTM,3.771077332004319,45.99,25.56,26.39,0.44780000000000003,26.39,0.48472775564409026,0.1765,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,45.99,25.56,0.0,0.1765,0.48472775564409026,78.85175148047777,72.5233935272045,89.4308943089431,39.958536585365856,39.920731707317074,68.55912064060101,88.32317073170732,86.95103008556956,72.23750252959472,72.23750252959472,0.8658536585365854,0.8048780487804879,0.926829268292683,B+,B+,A-,False,39.920731707317074,catalystpharmaceuticalsinc
GOOG,Alphabet Inc,Communication Services,Interactive Media & Services,330.34,32.0637,10.3351,29.0757,29.0757,TTM,12.408441075493384,32.61,13.42,35.0,0.32189999999999996,33.26,0.9492398479695937,71.0642,0.03522504892367906,0.8571428571428571,0.8366666666666666,70.0,90.0,84.89281911636292,32.61,13.42,0.03522504892367906,69.67847999999998,0.949154830966193,21.96969696969697,68.3098086124402,87.12121212121212,97.35454545454546,72.4090909090909,67.64650717703348,90.86363636363636,88.47530946472699,71.8122676345722,71.8122676345722,0.20454545454545456,0.8409090909090909,0.9772727272727273,D+,B+,A+,False,21.96969696969697,alphabetinc
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,70.43,9.1866,0.7258,6.8919,6.8919,TTM,2.215978453754861,43.65,2.79,27.63,0.0915,15.129999999999999,0.9289525048796359,6.4219,0.014336917562724039,0.9032258064516129,0.8541666666666667,31.0,90.0,84.89281911636292,43.65,2.79,0.014336917562724039,6.4219,0.9289525048796359,93.27217125382263,50.93878022041429,67.58409785932723,44.48012232415903,66.97247706422019,65.99509549362415,96.68195718654434,91.96630195847177,71.18933678659369,71.18933678659369,0.9908256880733946,0.46788990825688076,0.7155963302752294,A+,C,B,False,44.48012232415903,deltaairlinesinc
KRYS,Krystal Biotech Inc,Health Care,Biotechnology,285.04,41.5537,22.1497,48.2384,48.2384,TTM,8.672449516692884,277.03,54.51,19.36,0.424,19.36,0.9368287331100589,96.8372,0.0,0.8888888888888888,0.8152173913043478,18.0,90.0,84.89281911636292,230.09399999999985,54.51,0.0,95.68142000000006,0.9368287331100589,22.448057813911472,93.66154139305816,82.11382113821138,96.13780487804877,39.920731707317074,68.0924121629838,82.08536585365853,83.20834715874028,71.11559916213511,71.11559916213511,0.1951219512195122,0.9878048780487805,0.8597560975609756,D,A+,B+,False,22.448057813911472,krystalbiotechinc
IDCC,InterDigital Inc,Information Technology,Communications Equipment,308.76,16.0008,8.5602,11.6403,11.6403,TTM,9.250404458026244,58.32,28.75,49.919999999999995,0.6199,33.85,0.5727100650152249,79.8462,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,58.32,28.75,0.08333333333333337,79.8462,0.5727100650152249,72.55392205887254,85.33069620253164,92.66996699669967,68.43582358235824,90.3,81.08927622087103,48.945544554455445,29.367326732673266,70.74488632323148,70.74488632323148,0.7722772277227723,0.9306930693069307,0.9603960396039604,B,A,A,False,68.43582358235824,interdigitalinc
AVGO,Broadcom Inc,Information Technology,Semiconductors,351.71,72.1073,26.1016,61.2318,61.2318,TTM,20.511938226820476,290.4,23.87,31.47,0.3997,16.6,0.7725217894470362,53.3107,0.0030323450134770447,0.9464285714285714,0.9139344262295082,56.0,90.0,84.89281911636292,239.6309999999997,23.87,0.0030323450134770447,53.3107,0.7725217894470362,22.305563889722304,90.04961002429357,83.36303630363037,68.13993399339935,54.833333333333336,63.538392185210085,100.0,93.95712764654516,69.6221392774771,69.6221392774771,0.12871287128712872,0.9603960396039604,0.8811881188118812,D,A,B+,False,22.305563889722304,broadcominc
DY,Dycom Industries Inc,Industrials,Construction & Engineering,370.61,36.0639,2.0746,16.7584,16.7584,TTM,8.667516400247905,33.67,13.19,22.21,0.08310000000000001,12.790000000000001,0.9626589409303076,95.1298,0.0032679738562091387,0.9444444444444444,0.8586956521739131,18.0,90.0,84.89281911636292,33.67,13.19,0.0032679738562091387,95.1298,0.9626589409303076,49.54128440366972,71.09781605216085,58.103975535168196,82.80428134556576,56.20795107033639,63.31252957128844,99.17431192660551,93.46171480250848,69.34236661753245,69.34236661753245,0.5229357798165137,0.8440366972477065,0.6238532110091743,C+,B+,B-,False,49.54128440366972,dycomindustriesinc
META,Meta Platforms Inc,Communication Services,Interactive Media & Services,620.25,26.7113,8.2518,15.9016,15.9016,TTM,8.605666906233264,6.58,21.27,30.930000000000003,0.43229999999999996,26.840000000000003,0.4438299889398009,1.4641,0.021408450704225368,0.9014084507042254,0.8782894736842106,71.0,90.0,84.89281911636292,6.58,21.053499999999996,0.021408450704225368,1.4641,0.4438299889398009,37.878787878787875,72.79306220095694,84.84848484848486,51.0,63.272727272727266,61.7677033492823,100.0,93.95712764654516,68.20558820873488,68.20558820873488,0.3181818181818182,0.9090909090909091,0.8636363636363636,C-,A-,B+,False,37.878787878787875,metaplatformsinc
MCK,McKesson Corp,Health Care,Health Care Distributors,840.46,25.7216,0.268,18.9776,18.9776,TTM,26.73890704089132,66.52,17.23,39.43,0.013600000000000001,16.23,0.8304365213646292,41.2087,0.045454545454545414,0.8636363636363636,0.8055555555555556,22.0,4.75,9.493634433100562,66.52,17.23,0.045454545454545414,41.2087,0.8304365213646292,74.22964970390444,75.61356707317074,60.0,75.33333333333334,73.04878048780488,71.05167055605742,78.04878048780488,50.62672206592315,66.96668085803057,66.96668085803057,0.8292682926829268,0.9146341463414634,0.6097560975609756,B+,A-,B-,False,60.0,mckessoncorp
OPCH,Option Care Health Inc,Health Care,Health Care Facilities,36.03,27.3537,1.0341,16.7196,16.7196,TTM,4.265924698081933,5.27,15.79,15.28,0.0603,8.39,0.9760033098882913,22.8854,0.01388888888888884,0.8888888888888888,0.8152173913043478,18.0,64.75,74.3275049830888,5.27,15.79,0.01388888888888884,22.8854,0.953502375242304,72.63876342467128,54.641496080139376,49.79674796747967,79.62717770034843,61.25435540069686,63.58804814420498,82.65679442508711,79.32507864828779,66.73545424502154,66.73545424502154,0.7926829268292683,0.5609756097560976,0.4634146341463415,B,C+,C,False,49.79674796747967,optioncarehealthinc
PEGA,Pegasystems Inc,Information Technology,Application Software,51.99,31.746,5.0937,28.8483,28.8483,TTM,15.293425503750552,0.58,17.0,45.98,0.174,38.53,0.5789336121275486,1.4637,0.044736842105263186,0.8947368421052632,0.8229166666666666,19.0,64.75,74.3275049830888,0.58,17.0,0.044736842105263186,1.4637,0.5789336121275486,62.432909957662424,50.960236653824985,81.11881188118811,43.86498649864986,74.45652173913044,62.29862726412065,89.77399913904434,83.59540147666212,66.55798210662894,66.55798210662894,0.693069306930693,0.5346534653465347,0.8712871287128713,B-,C+,B+,False,43.86498649864986,pegasystemsinc
CFG,Citizens Financial Group Inc,Financials,Regional Banks,60.82,15.3294,1.48499,13.8778,13.8778,TTM,1.1047174814911689,36.95,62.72879,6.800000000000001,0.31448550000000003,4.65,0.9546684709066307,29.9573,0.038461538461538436,0.8461538461538461,0.7983870967741936,26.0,64.75,74.3275049830888,36.95,62.72879,0.038461538461538436,29.9573,0.9546684709066307,68.18181818181819,82.83014585144403,20.454545454545457,84.484350898144,70.80459770114943,62.70245002912347,86.96428571428571,81.90957342180695,66.54387470766017,66.54387470766017,0.7215909090909091,0.9545454545454546,0.20454545454545456,B,A,D+,False,20.454545454545457,citizensfinancialgroupinc
WAL,Western Alliance Bancorp,Financials,Regional Banks,88.37,10.8084,2.03505,11.1237,11.1237,TTM,1.4500292073326813,24.59,69.87056,12.790000000000001,0.41207459999999996,8.709999999999999,0.8385542168674699,1.5164,0.0,0.9,0.8300000000000001,20.0,90.0,84.89281911636292,24.59,69.87056,0.0,1.5164,0.8385542168674699,76.70454545454545,75.9248205029138,56.81818181818182,40.6946061601234,28.971902937420175,59.60175744453127,96.93181818181819,92.11621855563607,66.10464966675224,66.10464966675224,0.8863636363636364,0.875,0.5681818181818182,B+,B+,C+,False,28.971902937420175,westernalliancebancorp
WBS,Webster Financial Corp,Financials,Regional Banks,64.53,11.255,2.72593,9.263,9.263,TTM,1.2109509145466113,21.16,93.49402,9.959999999999999,0.4321621,8.799999999999999,0.9258576171154553,11.3738,0.0,0.8636363636363636,0.8055555555555556,22.0,90.0,84.89281911636292,21.16,92.77581400000001,0.0,11.3738,0.9258576171154553,81.81818181818181,82.00543320776586,36.36363636363637,59.594417077175706,28.971902937420175,60.762614896184886,88.85551948051949,87.27043933485686,66.06417978391929,66.06417978391929,0.9090909090909091,0.9431818181818182,0.36363636363636365,A-,A,C-,False,28.971902937420175,websterfinancialcorp
