Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,Rev_Change_Win,Rev_Pct,Rev_Grade,FundamentalPlusRev_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Val_Fail,Mom_Fail,Min_Fund_Factor
MU,Micron Technology Inc,Information Technology,Semiconductors,365.0,34.7387,9.7774,18.895,7.560786653243682,205.92,45.43,22.43,0.3245,17.740000000000002,0.948253530483573,245.1537,205.92,41.040999999999926,136.9273099999993,0.948253530483573,22.43,0.3245,17.740000000000002,47.24821063394683,93.48538849168749,81.21530820917324,98.3972392638037,98.2363315696649,75.49240526187826,0.5153374233128835,0.9938650306748467,0.852760736196319,1.0,C+,A+,B+,A+,microntechnologyinc,0.09252539912917268,0.9038461538461539,0.8728070175438597,52.0,65.0,74.46193240119223,0.08301282051282052,0.9767441860465116,A+,80.31603841884476,87.28070175438597,82.15319401310848,80.6834695376975,False,False,47.24821063394683
NEM,Newmont Corporation,Materials,Gold,118.94,18.0597,6.0361,10.568,4.478921504019883,26.06,26.59,22.720000000000002,0.4537,18.34,0.994777402713203,185.4332,26.06,26.5375,120.29173999999996,0.9811930348614146,22.720000000000002,0.4052599999999998,16.916500000000003,52.94117647058823,87.11365902293122,95.09803921568628,97.0855614973262,100.0,78.84964802562011,0.5735294117647058,0.9852941176470589,1.0,0.9852941176470589,C+,A+,A+,A+,newmontcorporation,0.12108262108262113,0.8518518518518519,0.8046875,27.0,5.0,9.967547741373439,0.10448717948717945,1.0,A+,83.84964802562011,80.46875,52.268269096549375,77.53337223980597,False,False,52.94117647058823
IDCC,InterDigital Inc,Information Technology,Communications Equipment,325.88,16.0008,8.5602,11.6403,9.763317155012283,58.32,28.75,49.919999999999995,0.6199,33.85,0.6431569418154883,89.8072,58.32,28.75,89.8072,0.6431569418154883,49.919999999999995,0.45634000000000013,33.85,66.79447852760735,87.67814217032966,92.14266661585947,70.45293328220859,97.83549783549783,76.36050137637436,0.7055214723926381,0.9447852760736196,0.9570552147239264,0.7484662576687117,B,A,A,B,interdigitalinc,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,0.08301282051282052,0.9534883720930233,A,81.14405115992415,75.0,45.0,73.91524092793932,False,False,66.79447852760735
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,67.46,9.1866,0.7258,6.8919,2.122531683803818,43.65,2.79,27.63,0.0915,15.129999999999999,0.8516590761223161,2.4916,43.65,2.79,2.4916,0.8516590761223161,27.63,0.0915,15.129999999999999,93.41525620217946,58.524039316863096,64.03508771929825,53.674669736775485,70.52631578947368,66.80232779109714,0.9824561403508771,0.5789473684210527,0.6644736842105263,0.49122807017543857,A+,C+,B-,C,deltaairlinesinc,0.014336917562724039,0.9032258064516129,0.8541666666666667,31.0,90.0,84.89281911636292,0.014336917562724039,0.6842105263157895,B-,68.85495937004451,85.41666666666667,85.20712764654516,72.12539302534465,False,False,53.674669736775485
CCK,Crown Holdings Inc,Materials,Paper & Plastic Packaging Products & Materials,101.57,12.7102,0.9904,8.7784,4.3673436042086795,894.61,3.27,33.32,0.1259,10.26,0.7638805970149251,18.712,147.55799999999942,3.27,18.712,0.7638805970149251,30.79,0.1259,10.26,82.3529411764706,81.28946493851778,78.18627450980392,68.45315904139434,76.19047619047619,75.08332871755105,0.9264705882352942,0.8529411764705882,0.8455882352941176,0.7058823529411765,A-,B+,B+,B,crownholdingsinc,0.06052631578947365,0.85,0.79,20.0,0.0,0.0,0.06052631578947365,0.75,B,77.70237633659868,79.0,47.4,71.64190106927894,False,False,68.45315904139434
MLI,Mueller Industries Inc,Industrials,Industrial Machinery & Supplies & Components,131.11,19.6722,3.5599,13.1811,5.377945133556475,30.06,15.71,26.229999999999997,0.2303,26.22,0.9651599339240127,59.6566,30.06,15.71,59.6566,0.9651599339240127,26.229999999999997,0.2303,26.22,62.09521601360229,86.13159316147271,86.25730994152048,91.36511521805794,40.021929824561404,77.58747316468683,0.6929824561403509,0.9429824561403509,0.9342105263157895,0.9692982456140351,B-,A,A,A,muellerindustriesinc,0.0,0.8333333333333334,0.7045454545454546,6.0,0.0,0.0,0.0,0.4342105263157895,C,76.58966614714296,70.45454545454545,42.27272727272727,69.72627837225983,False,False,40.021929824561404
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,23.38,13.1142,4.9361,6.7004,3.884043525209735,45.99,25.56,26.39,0.44780000000000003,26.39,0.5750332005312084,2.6339,45.99,25.56,2.6339,0.5750332005312084,26.39,0.395,26.39,72.36025822705085,68.46920203084586,90.52511415525116,37.842465753424655,40.123456790123456,66.98367665242961,0.8013698630136986,0.7671232876712328,0.9383561643835616,0.3356164383561644,B+,B,A,C-,catalystpharmaceuticalsinc,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,0.0,0.38333333333333336,C-,65.99602233144195,82.89473684210526,83.69396975180832,69.53561181551522,False,False,37.842465753424655
HALO,Halozyme Therapeutics Inc,Health Care,Biotechnology,70.43,14.0625,6.7378,11.7079,23.83740607865701,57.4,31.19,141.55,0.5932999999999999,30.869999999999997,0.7165625000000002,28.5219,57.4,31.19,28.5219,0.7165625000000002,94.6625,0.395,30.869999999999997,63.19792158715163,75.99915780566465,96.57534246575342,64.75456621004567,82.71604938271605,73.09406081636833,0.678082191780822,0.8698630136986302,0.9965753424657534,0.6438356164383562,B-,B+,A+,B-,halozymetherapeuticsinc,0.04583333333333328,0.7333333333333333,0.6875,15.0,0.0,0.0,0.04583333333333328,0.8333333333333334,B+,76.36566575463993,68.75,41.25,69.34253260371196,False,False,63.19792158715163
DY,Dycom Industries Inc,Industrials,Construction & Engineering,366.15,36.0639,2.0746,16.7584,8.563209654220799,33.67,13.19,22.21,0.08310000000000001,12.790000000000001,0.9447126991791405,92.1644,33.67,13.19,75.16989999999997,0.9447126991791405,22.21,0.08310000000000001,12.790000000000001,46.71406857820028,72.7118185628664,56.652046783625735,91.67555452507924,58.105263157894726,63.719003458045634,0.4692982456140351,0.8464912280701754,0.5877192982456141,0.9736842105263158,C,B+,C+,A+,dycomindustriesinc,0.0032679738562091387,0.9444444444444444,0.8586956521739131,18.0,90.0,84.89281911636292,0.0032679738562091387,0.5526315789473685,C+,64.52952977383511,85.86956521739131,85.47886677697996,68.71939717446408,False,False,46.71406857820028
APH,Amphenol Corp,Information Technology,Electronic Components,152.33,49.4588,9.0105,32.2922,18.812675986760855,72.14,47.37,34.63,0.24309999999999998,20.57,0.9604327356506062,119.4324,72.14,41.040999999999926,119.4324,0.9536852269105095,34.63,0.24309999999999998,20.57,34.62806748466258,91.37851331360946,81.46553366612049,96.62028921998248,77.22567287784679,71.62316079441416,0.3312883435582822,0.9815950920245399,0.8650306748466258,0.9815950920245399,C-,A+,B+,A+,amphenolcorp,0.024347826086956514,0.72,0.6916666666666667,25.0,0.0,0.0,0.024347826086956514,0.7674418604651163,B,74.34572808219885,69.16666666666667,41.5,67.14247640281256,True,False,34.62806748466258
