Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA,EV_EBITDA_Used,EV_EBITDA_Source,EPS_Growth,EPS_Growth_Source,EPS_Growth_TTMYoY,EPS_Growth_3Y,EPS_Growth_5Y,Rev_Growth,ROE,Op_Margin,ROIC,ROIC_Source,Mom_Range,Mom_12M,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Days_Raw,Streak_Score,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Alpha_Score_PreGates,Min_Fund_Factor,Momentum_Fail,Lopsided_Fail,Neg_EPS_Fail,Missing_EPS_Fail
MU,Information Technology,Semiconductors,362.75,34.2832,9.6492,18.6485,18.6485,TTM,205.92,TTM_YoY,205.92,-0.66,26.15,45.43,22.43,32.45,17.740000000000002,TTM,0.9899431426036086,253.5575,0.09252539912917268,0.9038461538461539,0.8728070175438597,52.0,64.5,64.5,74.19236996521622,58.10657596371882,92.2051656920078,81.57362601397948,99.07879818594105,97.1655328798186,84.75068113849507,95.52154195011337,86.98987315615452,85.19851954202697,85.19851954202697,58.10657596371882,False,False,False,False
NEM,Materials,Gold,114.12,17.3278,5.7915,10.1398,10.1398,TTM,26.06,3Y,,26.06,-5.19,26.59,22.720000000000002,45.37,18.34,TTM,0.9788925255493955,173.9976,0.12108262108262113,0.8518518518518519,0.8046875,27.0,4.5,4.5,9.017226537397004,54.76190476190476,85.35819019689987,96.75324675324676,93.50649350649351,87.01298701298701,83.64090210864404,94.8051948051948,60.49000749807568,79.01072318653037,79.01072318653037,54.76190476190476,False,False,False,False
NVDA,Information Technology,Semiconductors,186.23,45.6198,24.1816,39.4967,39.4967,TTM,59.09,TTM_YoY,59.09,96.93,91.83,65.22,103.82000000000001,58.84,95.37,TTM,0.79326335371773,39.425,0.0015649452269169695,0.8888888888888888,0.8668831168831168,72.0,90.0,94.5,84.89281911636292,40.58169564121945,90.6755604288499,98.66750824040957,60.984977324263035,55.61224489795919,71.18852385234756,92.17687074829931,89.26325009552475,74.80346910098301,74.80346910098301,40.58169564121945,False,False,False,False
CCK,Materials,Paper & Plastic Packaging Products & Materials,104.24,12.7102,0.9904,8.7784,8.7784,TTM,894.61,TTM_YoY,894.61,,-1.24,3.27,33.32,12.59,10.26,TTM,0.8435820895522386,22.3331,0.06052631578947365,0.85,0.79,20.0,0.0,0.0,0.0,84.1991341991342,79.54545454545453,86.14718614718616,60.0,72.07792207792207,77.70129870129871,89.6103896103896,53.76623376623376,72.91428571428573,72.91428571428573,60.0,False,False,False,False
GOOG,Communication Services,Interactive Media & Services,330.34,32.0637,10.3351,29.0757,29.0757,TTM,32.61,TTM_YoY,32.61,12.76,26.76,13.42,35.0,32.19,33.26,TTM,0.9492398479695937,71.0642,0.03522504892367906,0.8571428571428571,0.8366666666666666,70.0,90.0,94.5,84.89281911636292,20.909090909090903,68.4976076555024,86.36363636363637,96.25454545454545,74.36363636363637,68.78315789473685,88.54545454545455,87.08440037381789,72.44340639055306,72.44340639055306,20.909090909090903,False,False,False,False
GOOGL,Communication Services,Interactive Media & Services,330.0,32.0637,10.3351,29.0757,29.0757,TTM,32.61,TTM_YoY,32.61,12.76,26.76,13.42,35.0,32.19,33.26,TTM,0.9475395079015803,71.0642,0.03522504892367906,0.8571428571428571,0.8366666666666666,70.0,90.0,94.5,84.89281911636292,20.909090909090903,68.4976076555024,86.36363636363637,93.2,74.36363636363637,68.32497607655503,88.54545454545455,87.08440037381789,72.0768609360076,72.0768609360076,20.909090909090903,False,False,False,False
IDCC,Information Technology,Communications Equipment,308.76,16.0008,8.5602,11.6403,11.6403,TTM,58.32,TTM_YoY,58.32,89.75,78.98,28.75,49.919999999999995,61.99,33.85,TTM,0.5727100650152249,79.8462,0.08333333333333337,0.8333333333333334,0.75,12.0,0.0,0.0,0.0,70.61537258581593,87.50210055790818,94.34767152506221,67.05840957072483,87.82547501759325,82.83426894913775,47.29064039408867,28.3743842364532,71.94229200660084,71.94229200660084,67.05840957072483,False,False,False,False
AVGO,Information Technology,Semiconductors,351.71,72.1073,26.1016,61.2318,61.2318,TTM,290.4,TTM_YoY,290.4,20.59,46.63,23.87,31.47,39.97,16.6,TTM,0.7725217894470362,53.3107,0.0030323450134770447,0.9464285714285714,0.9139344262295082,56.0,90.0,94.5,84.89281911636292,25.35588309397833,86.44919590643276,86.05792832596957,67.64739229024943,58.95691609977325,65.81398994506668,100.0,93.95712764654516,71.44261748536238,71.44261748536238,25.35588309397833,False,False,False,False
DAL,Industrials,Passenger Airlines,70.43,9.1866,0.7258,6.8919,6.8919,TTM,43.65,TTM_YoY,43.65,54.97,,2.79,27.63,9.15,15.129999999999999,TTM,0.9289525048796359,6.4219,0.014336917562724039,0.9032258064516129,0.8541666666666667,31.0,90.0,94.5,84.89281911636292,84.5204178537512,49.96947496947497,71.69990503323835,48.23361823361823,70.7977207977208,66.21754171754172,94.72934472934472,90.794734484152,71.13298027086378,71.13298027086378,48.23361823361823,False,False,False,False
CPRX,Health Care,Biotechnology,22.7,12.8206,4.8255,6.5025,6.5025,TTM,45.99,TTM_YoY,45.99,52.98,34.24,25.56,26.39,44.78,26.39,TTM,0.48472775564409026,0.1765,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,94.5,84.89281911636292,84.04881332377913,65.77354093320771,87.26467331118494,34.54042081949059,42.9125138427464,65.54420507066646,87.67995570321152,86.56510106847207,69.74838427022759,69.74838427022759,34.54042081949059,False,False,False,False
